00Date,Apts,SqFt.,BedRooms,BathRooms,AptNumbers,Rent,Available
19990104,crystal-plaza,1051,1,1,#0113S,$2548-$2955,12/4/2023
19990104,crystal-plaza,1051,1,1,#0213S,$2528-$2935,12/20/2023
19990104,crystal-plaza,1051,1,1,#0313S,$2283-$2690,10/18/2023
19990104,crystal-plaza,1051,1,1,#0413S,$2288-$2695,11/11/2023
19990104,crystal-plaza,1051,1,1,#0513S,$2618-$3025,11/13/2023
19990104,crystal-plaza,1051,1,1,#0713S,$2428-$2835,10/16/2023
19990104,crystal-plaza,1051,1,1,#0813N,$2433-$2840,12/14/2023
19990104,crystal-plaza,1051,1,1,#0813S,$2308-$2715,10/27/2023
19990104,crystal-plaza,1051,1,1,#0913S,$2438-$2845,10/20/2023
19990104,crystal-plaza,1051,1,1,#1013S,$2453-$2860,11/2/2023
19990104,crystal-plaza,1051,1,1,#1213N,$2598-$3005,12/18/2023
19990104,crystal-plaza,1051,1,1.50,#0111N,$2363-$2770,12/15/2023
19990104,crystal-plaza,1051,1,1.50,#0111S,$2538-$2945,12/1/2023
19990104,crystal-plaza,1051,1,1.50,#0211S,$2433-$2840,10/27/2023
19990104,crystal-plaza,1051,1,1.50,#0311S,$2588-$2995,Available
19990104,crystal-plaza,1051,1,1.50,#0411S,$2268-$2675,12/6/2023
19990104,crystal-plaza,1051,1,1.50,#0511S,$2473-$2880,Available
19990104,crystal-plaza,1051,1,1.50,#0711S,$2383-$2790,Available
19990104,crystal-plaza,1051,1,1.50,#0811S,$2413-$2820,1/2/2024
19990104,crystal-plaza,1197,2,2,#1105N,$3012-$3549,1/5/2024
19990104,crystal-plaza,1202,2,2,#0122S,$2679-$3217,11/22/2023
19990104,crystal-plaza,1202,2,2,#0222S,$2784-$3322,11/6/2023
19990104,crystal-plaza,1202,2,2,#0622S,$2779-$3317,11/27/2023
19990104,crystal-plaza,1202,2,2,#0922S,$2694-$3232,12/16/2023
19990104,crystal-plaza,1294,2,2,#0115S,$3243-$3797,11/15/2023
19990104,crystal-plaza,1294,2,2,#0215S,$3198-$3752,11/3/2023
19990104,crystal-plaza,1294,2,2,#0315S,$2803-$3357,11/15/2023
19990104,crystal-plaza,1294,2,2,#0515S,$2913-$3467,11/13/2023
19990104,crystal-plaza,1294,2,2,#0615S,$3043-$3597,1/11/2024
19990104,crystal-plaza,1294,2,2,#0715N,$3273-$3827,10/29/2023
19990104,crystal-plaza,1294,2,2,#0715S,$2893-$3447,Available
19990104,crystal-plaza,1294,2,2,#1115S,$3293-$3847,10/23/2023
19990104,crystal-plaza,1294,2,2,#1202N,$2843-$3397,11/6/2023
19990104,crystal-plaza,1442,2,2,#0117N,$3251-$3836,Available
19990104,crystal-plaza,1442,2,2,#0117S,$2951-$3536,11/13/2023
19990104,crystal-plaza,1442,2,2,#0204N,$3156-$3741,Available
19990104,crystal-plaza,1442,2,2,#0304S,$3352-$3937,Available
19990104,crystal-plaza,1442,2,2,#0417S,$2966-$3551,10/31/2023
19990104,crystal-plaza,1442,2,2,#0504N,$3396-$3981,11/21/2023
19990104,crystal-plaza,1442,2,2,#1004S,$3369-$3954,Available
19990104,crystal-plaza,1442,2,2,#1104N,$3169-$3754,Available
19990104,crystal-plaza,1442,2,2,#1208S,$3466-$4051,11/25/2023
19990104,crystal-plaza,1701,3,2,#0203N,$3559-$4329,Available
19990104,crystal-plaza,1701,3,2,#0316S,$4200-$4970,11/20/2023
19990104,crystal-plaza,1701,3,2,#0516S,$4210-$4980,11/16/2023
19990104,crystal-plaza,1701,3,2,#0703N,$4070-$4840,11/9/2023
19990104,crystal-plaza,701,0,1,#0206S,$2098-$2377,11/1/2023
